,dates,down,up
0,1986-01-07,75909.7101139999,10122.518957999991
1,1988-01-13,138262.15259371826,86222.14998071836
2,1989-01-15,77686.49756571827,19334.827988718353
3,1989-12-01,80649.58571637349,25426.100575373574
4,1991-01-05,78233.34110834324,23772.615548343332
5,1992-01-24,108771.37679242477,61385.19078442485
6,1993-01-10,73045.38841802528,21843.10669602536
7,1993-12-28,68584.37506225497,25728.86569825503
8,1994-12-31,69221.66683769788,23691.168776697952
9,1995-12-18,68057.01172184569,26212.387641845748
10,1997-01-05,66183.20648313542,25954.50716513549
11,1998-12-10,64230.26652410002,27471.936838100082
12,2000-01-06,63957.714504151045,29267.714270151104
13,2001-02-09,61967.351217417425,28351.444849417483
14,2001-12-18,61834.61903092285,28987.61229092291
15,2003-01-30,60941.48919529147,28821.53182429153
16,2004-01-25,59198.89699883717,29565.16896583722
17,2004-12-26,59551.50486683717,31734.778717837216
18,2006-01-30,56794.36997083717,30492.238973837215
19,2007-01-01,56506.23378429148,31300.534370291527
20,2008-02-05,55417.14539533154,30958.836610331593
21,2008-12-21,54850.9610850665,31524.982440066546
22,2009-11-22,65532.727243570844,42545.16689457089
23,2011-01-12,53691.57510804219,30926.41253504224
24,2011-12-22,52194.31945561415,32078.643666614196
25,2012-12-24,55475.6615223533,36899.10340435334
26,2013-12-19,62871.6812861094,45384.39764110943
27,2014-12-06,78375.70957169791,61161.67685269795
28,2015-12-25,81586.26143625498,63742.89273425502
29,2016-12-11,48422.6243734248,31907.577618424843
30,2017-12-30,51486.17851754671,36119.65957254675
31,2019-01-02,47383.184182153025,33648.44864815305
32,2020-01-05,76205.50582637353,64168.39911537357
33,2020-12-22,90599.9507387183,78796.65551071834
34,2021-12-25,50932.20936945436,42398.77168645439
